source	revit_category	material_key	din276_code	notes
ocerp_revit_coarse	Ceilings		350	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Columns		330	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Curtain Panels		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Curtain Walls		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Doors		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Floors		350	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Generic Models		390	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Railings		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Ramps		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Roofs		360	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Stairs		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Structural Foundations		320	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Structural Framing		330	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Walls		330	classification_mapper.REVIT_TO_DIN276
ocerp_revit_coarse	Windows		340	classification_mapper.REVIT_TO_DIN276
ocerp_revit_material	Columns	concrete	340.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Columns	steel	340.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Curtain Walls	aluminium	334.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Curtain Walls	glass	334.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Doors	steel	344.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Doors	timber	344.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Floors	concrete	350.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Roofs	concrete	360.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Roofs	timber	360.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Structural Foundations	concrete	322.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Structural Framing	concrete	340.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Structural Framing	steel	340.20	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Walls	concrete	330.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Walls	drywall	331.30	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Walls	masonry	331.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Walls	timber	331.40	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Windows	aluminium	334.10	classification_mapper.MATERIAL_AWARE_DIN276
ocerp_revit_material	Windows	timber	334.10	classification_mapper.MATERIAL_AWARE_DIN276
